ward,searches,searches_with_estimate,searches_for_quotes,searches_with_quotes,bookings,completed_trips,search_to_estimate_rate,rider_fare_acceptance_rate,driver_quote_acceptance_rate,quote_to_booking_rate,cancelled_bookings,booking_cancellation_rate,driver_cancellation_rate,user_cancellation_rate,conversion_rate,driver_earnings,avg_distance,avg_fare,distance_travelled_km,earnings_per_km,supply_gap,revenue_leakage,reliability_score
Other Wards,13321104.0,12450998.0,8424655.0,4346977.0,4298457.0,2698430.0,0.935,0.677,0.516,0.9890000000000001,1599378.0,0.37200000000000005,0.209,0.162,0.203,636687126.0,12.92,235.95,34865339.0,18.26132039043131,8974127.0,-623373454.5,0.408156
Shantala Nagar,9166472.0,8835131.0,7860258.0,3171701.0,3134687.0,1809685.0,0.9640000000000001,0.89,0.40399999999999997,0.988,1324423.0,0.423,0.252,0.16899999999999998,0.19699999999999998,277440298.0,7.71,153.31,13950904.0,19.886904676571497,5994771.0,-268276335.35000002,0.30219199999999996
Doddakanahalli,6390886.0,6159774.0,5327466.0,2172867.0,2151225.0,1282160.0,0.9640000000000001,0.865,0.408,0.99,868646.0,0.40399999999999997,0.245,0.157,0.201,228195737.0,9.46,177.98,12124625.0,18.820849057187335,4218019.0,-221807950.79999998,0.30804
Koramangala,4087055.0,3963127.0,3441498.0,1814445.0,1788967.0,1175624.0,0.97,0.868,0.527,0.986,612975.0,0.34299999999999997,0.18899999999999997,0.152,0.28800000000000003,162574064.0,7.04,138.29,8275384.0,19.645500921769916,2272610.0,-158489987.95999998,0.427397
Agara,3970160.0,3833952.0,3285044.0,1768187.0,1744502.0,1170935.0,0.966,0.857,0.5379999999999999,0.987,573291.0,0.32899999999999996,0.18,0.147,0.295,164403114.0,7.27,140.4,8510243.0,19.318263180029053,2201973.0,-160429114.0,0.44116
Adugodi,4051943.0,3922611.0,3377119.0,1749716.0,1721864.0,1059328.0,0.968,0.861,0.518,0.9840000000000001,662039.0,0.384,0.21899999999999997,0.16399999999999998,0.261,153690637.0,7.32,145.08,7759271.0,19.807355227056767,2302227.0,-149635363.24,0.40455800000000003
Vasanth Nagar,3860631.0,3757961.0,3178312.0,1625006.0,1606009.0,1030663.0,0.973,0.846,0.511,0.988,575068.0,0.358,0.20800000000000002,0.149,0.267,145029710.0,7.38,140.71,7607003.0,19.065288918645095,2235625.0,-141163959.73000002,0.404712
Suddagunte Palya,4313262.0,4168076.0,3620980.0,1712704.0,1688750.0,958141.0,0.966,0.8690000000000001,0.473,0.986,730309.0,0.43200000000000005,0.243,0.188,0.222,132603737.0,7.22,138.4,6919926.0,19.162594657804146,2600558.0,-128293452.4,0.35806099999999996
Bellanduru,4797182.0,4597193.0,4063024.0,1594060.0,1576791.0,942577.0,0.958,0.884,0.392,0.9890000000000001,633937.0,0.402,0.25,0.151,0.196,170632768.0,9.73,181.03,9172276.0,18.603100037547932,3203122.0,-165837532.31,0.29400000000000004
Hoysala Nagar,2837669.0,2765691.0,2314862.0,1306822.0,1293276.0,891399.0,0.975,0.8370000000000001,0.565,0.99,401655.0,0.311,0.17600000000000002,0.133,0.314,112651152.0,6.3,126.38,5616724.0,20.056380196000372,1530847.0,-109817336.61999999,0.4655599999999999
HRBR Layout,2252400.0,2217840.0,1816543.0,1249405.0,1237384.0,885386.0,0.985,0.8190000000000001,0.688,0.99,351823.0,0.284,0.162,0.121,0.39299999999999996,110585029.0,6.37,124.9,5641368.0,19.602519991604872,1002995.0,-108332311.4,0.576544
Old Thippasandra,2454200.0,2394328.0,2076771.0,1204925.0,1191626.0,805453.0,0.976,0.867,0.58,0.9890000000000001,385942.0,0.324,0.184,0.138,0.32799999999999996,109109751.0,6.77,135.46,5456253.0,19.997194228346817,1249275.0,-106652463.38000001,0.47328
Domlur,2680093.0,2602961.0,2273687.0,1198406.0,1184986.0,798177.0,0.971,0.8740000000000001,0.527,0.9890000000000001,386582.0,0.326,0.184,0.141,0.298,112728566.0,7.07,141.23,5640829.0,19.984396974274524,1481687.0,-110046444.71,0.430032
Jakkuru,2717640.0,2662311.0,2088307.0,1243620.0,1228657.0,786577.0,0.98,0.784,0.596,0.988,441895.0,0.36,0.22,0.139,0.289,133830243.0,9.26,170.14,7287594.0,18.364118939666508,1474020.0,-131110570.77999999,0.46488
Byrasandra,2317805.0,2271229.0,1815154.0,1121214.0,1108822.0,762917.0,0.98,0.799,0.618,0.9890000000000001,345760.0,0.312,0.172,0.139,0.32899999999999996,93027016.0,6.3,121.94,4806494.0,19.354443384304652,1196591.0,-90712293.98,0.511704
Whitefield,3581819.0,3476280.0,2912674.0,1246483.0,1235636.0,750762.0,0.971,0.838,0.428,0.991,484691.0,0.392,0.243,0.14800000000000002,0.21,126253042.0,8.37,168.17,6281977.0,20.097660656828257,2335336.0,-122673826.53999999,0.323996
Marathahalli,4312403.0,4157855.0,3575491.0,1362784.0,1348431.0,741858.0,0.9640000000000001,0.86,0.381,0.9890000000000001,606330.0,0.45,0.275,0.17300000000000001,0.172,137336189.0,9.77,185.12,7244396.0,18.957576173362142,2949619.0,-133020349.96000001,0.276225
Sampangiram Nagar,3711112.0,3598456.0,3054167.0,1391688.0,1377921.0,737639.0,0.97,0.8490000000000001,0.456,0.99,640089.0,0.465,0.289,0.174,0.19899999999999998,112103849.0,8.03,151.98,5921591.0,18.931373173189435,2319424.0,-108395263.22,0.32421600000000006
Gandhinagar,2397263.0,2360067.0,1608129.0,1111887.0,1099282.0,691779.0,0.9840000000000001,0.6809999999999999,0.691,0.9890000000000001,407363.0,0.371,0.21100000000000002,0.159,0.289,110608841.0,8.56,159.89,5921636.0,18.67876394293739,1285376.0,-108211281.30999999,0.5451989999999999
Aramane Nagara,2080928.0,2043970.0,1590437.0,1040535.0,1025952.0,676200.0,0.982,0.778,0.654,0.986,349608.0,0.341,0.192,0.147,0.325,94832315.0,7.47,140.24,5048876.0,18.78285681803237,1040393.0,-92749360.0,0.528432
Horamavu,2270003.0,2222867.0,1778965.0,999755.0,989216.0,661673.0,0.9790000000000001,0.8,0.562,0.9890000000000001,327429.0,0.331,0.207,0.12300000000000001,0.29100000000000004,103909069.0,8.0,157.04,5295550.0,19.621959758665295,1270248.0,-101639124.92,0.44566600000000006
Hudi,2799945.0,2722382.0,2265746.0,1052046.0,1043373.0,636382.0,0.972,0.8320000000000001,0.46399999999999997,0.992,406810.0,0.39,0.249,0.14,0.22699999999999998,108687313.0,9.04,170.79,5750256.0,18.901299872562195,1747899.0,-105887736.78,0.348464
Kempapura,1927693.0,1892403.0,1460054.0,938189.0,926797.0,615068.0,0.982,0.772,0.643,0.988,311601.0,0.336,0.20199999999999999,0.133,0.319,94675017.0,8.32,153.93,5119783.0,18.491998000696515,989504.0,-92749724.24000001,0.5131140000000001
Jeevanbhima Nagar,2431231.0,2353269.0,2066690.0,993455.0,981083.0,604037.0,0.968,0.878,0.48100000000000004,0.988,376853.0,0.384,0.23199999999999998,0.151,0.248,94221894.0,8.13,155.99,4913807.0,19.174927708800936,1437776.0,-91792500.63000001,0.369408
J P Nagar,1876723.0,1840665.0,1476021.0,932871.0,921471.0,604022.0,0.981,0.802,0.632,0.988,317280.0,0.344,0.196,0.147,0.322,78581404.0,6.75,130.1,4075270.0,19.28250250903621,943852.0,-76706539.2,0.508128
Munnekollala,3736249.0,3587050.0,3130532.0,1096891.0,1085170.0,603995.0,0.96,0.873,0.35,0.9890000000000001,481005.0,0.44299999999999995,0.27899999999999997,0.163,0.162,112404934.0,9.91,186.1,5987411.0,18.773545694457923,2639358.0,-108667220.5,0.25235
Vinayakanagar,1942627.0,1898285.0,1552305.0,950334.0,939732.0,601798.0,0.977,0.818,0.612,0.9890000000000001,337780.0,0.359,0.209,0.15,0.31,84221413.0,7.31,139.95,4399117.0,19.145072295190147,992293.0,-82279003.1,0.484092
Banasavadi,1783495.0,1747141.0,1428486.0,861310.0,852169.0,592387.0,0.98,0.818,0.603,0.9890000000000001,259635.0,0.305,0.182,0.122,0.332,79600371.0,7.0,134.37,4148268.0,19.188820731929567,922185.0,-77815546.19,0.493254
Belathur,2298989.0,2249254.0,1745018.0,924663.0,916970.0,586296.0,0.978,0.7759999999999999,0.53,0.992,330531.0,0.36,0.223,0.13699999999999998,0.255,95418365.0,8.68,162.75,5090680.0,18.743736593146693,1374326.0,-93120685.0,0.41181
Pulikeshinagar,1803653.0,1767092.0,1473312.0,870244.0,862760.0,582854.0,0.98,0.8340000000000001,0.591,0.991,279769.0,0.324,0.187,0.136,0.32299999999999995,69172304.0,5.93,118.68,3456774.0,20.010652706830125,933409.0,-67369459.72,0.48048299999999994
Kalkere,2323573.0,2265018.0,1874102.0,874288.0,867314.0,580141.0,0.975,0.8270000000000001,0.467,0.992,287042.0,0.331,0.217,0.113,0.25,92679025.0,8.57,159.75,4972746.0,18.637393705610542,1449285.0,-90353951.75,0.365661
