Ward,Searches,"Searches which got estimate","Searches for Quotes","Searches which got Quotes",Bookings,"Completed Trips","Search-to-estimate Rate","Rider Fare Acceptance Rate","Driver Quote Acceptance Rate","Quote-to-Booking Rate",Cancelled Bookings,"Booking Cancellation Rate","Driver Cancellation Rate","User Cancellation Rate","Conversion Rate","Driver's Earnings","Average Distance per Trip (km)","Average Fare per Trip","Distance Travelled (km)"
Other Wards,"1,33,21,104","1,24,50,998","84,24,655","43,46,977","42,98,457","26,98,430",93.5%,67.7%,51.6%,98.9%,"15,99,378",37.2%,20.9%,16.2%,20.3%,"₹63,66,87,126",12.92,₹235.95,"3,48,65,339"
Shantala Nagar,"91,66,472","88,35,131","78,60,258","31,71,701","31,34,687","18,09,685",96.4%,89.0%,40.4%,98.8%,"13,24,423",42.3%,25.2%,16.9%,19.7%,"₹27,74,40,298",7.71,₹153.31,"1,39,50,904"
Doddakanahalli,"63,90,886","61,59,774","53,27,466","21,72,867","21,51,225","12,82,160",96.4%,86.5%,40.8%,99.0%,"8,68,646",40.4%,24.5%,15.7%,20.1%,"₹22,81,95,737",9.46,₹177.98,"1,21,24,625"
Koramangala,"40,87,055","39,63,127","34,41,498","18,14,445","17,88,967","11,75,624",97.0%,86.8%,52.7%,98.6%,"6,12,975",34.3%,18.9%,15.2%,28.8%,"₹16,25,74,064",7.04,₹138.29,"82,75,384"
Agara,"39,70,160","38,33,952","32,85,044","17,68,187","17,44,502","11,70,935",96.6%,85.7%,53.8%,98.7%,"5,73,291",32.9%,18.0%,14.7%,29.5%,"₹16,44,03,114",7.27,₹140.40,"85,10,243"
Adugodi,"40,51,943","39,22,611","33,77,119","17,49,716","17,21,864","10,59,328",96.8%,86.1%,51.8%,98.4%,"6,62,039",38.4%,21.9%,16.4%,26.1%,"₹15,36,90,637",7.32,₹145.08,"77,59,271"
Vasanth Nagar,"38,60,631","37,57,961","31,78,312","16,25,006","16,06,009","10,30,663",97.3%,84.6%,51.1%,98.8%,"5,75,068",35.8%,20.8%,14.9%,26.7%,"₹14,50,29,710",7.38,₹140.71,"76,07,003"
Suddagunte Palya,"43,13,262","41,68,076","36,20,980","17,12,704","16,88,750","9,58,141",96.6%,86.9%,47.3%,98.6%,"7,30,309",43.2%,24.3%,18.8%,22.2%,"₹13,26,03,737",7.22,₹138.40,"69,19,926"
Bellanduru,"47,97,182","45,97,193","40,63,024","15,94,060","15,76,791","9,42,577",95.8%,88.4%,39.2%,98.9%,"6,33,937",40.2%,25.0%,15.1%,19.6%,"₹17,06,32,768",9.73,₹181.03,"91,72,276"
Hoysala Nagar,"28,37,669","27,65,691","23,14,862","13,06,822","12,93,276","8,91,399",97.5%,83.7%,56.5%,99.0%,"4,01,655",31.1%,17.6%,13.3%,31.4%,"₹11,26,51,152",6.30,₹126.38,"56,16,724"
HRBR Layout,"22,52,400","22,17,840","18,16,543","12,49,405","12,37,384","8,85,386",98.5%,81.9%,68.8%,99.0%,"3,51,823",28.4%,16.2%,12.1%,39.3%,"₹11,05,85,029",6.37,₹124.90,"56,41,368"
Old Thippasandra,"24,54,200","23,94,328","20,76,771","12,04,925","11,91,626","8,05,453",97.6%,86.7%,58.0%,98.9%,"3,85,942",32.4%,18.4%,13.8%,32.8%,"₹10,91,09,751",6.77,₹135.46,"54,56,253"
Domlur,"26,80,093","26,02,961","22,73,687","11,98,406","11,84,986","7,98,177",97.1%,87.4%,52.7%,98.9%,"3,86,582",32.6%,18.4%,14.1%,29.8%,"₹11,27,28,566",7.07,₹141.23,"56,40,829"
Jakkuru,"27,17,640","26,62,311","20,88,307","12,43,620","12,28,657","7,86,577",98.0%,78.4%,59.6%,98.8%,"4,41,895",36.0%,22.0%,13.9%,28.9%,"₹13,38,30,243",9.26,₹170.14,"72,87,594"
Byrasandra,"23,17,805","22,71,229","18,15,154","11,21,214","11,08,822","7,62,917",98.0%,79.9%,61.8%,98.9%,"3,45,760",31.2%,17.2%,13.9%,32.9%,"₹9,30,27,016",6.30,₹121.94,"48,06,494"
Whitefield,"35,81,819","34,76,280","29,12,674","12,46,483","12,35,636","7,50,762",97.1%,83.8%,42.8%,99.1%,"4,84,691",39.2%,24.3%,14.8%,21.0%,"₹12,62,53,042",8.37,₹168.17,"62,81,977"
Marathahalli,"43,12,403","41,57,855","35,75,491","13,62,784","13,48,431","7,41,858",96.4%,86.0%,38.1%,98.9%,"6,06,330",45.0%,27.5%,17.3%,17.2%,"₹13,73,36,189",9.77,₹185.12,"72,44,396"
Sampangiram Nagar,"37,11,112","35,98,456","30,54,167","13,91,688","13,77,921","7,37,639",97.0%,84.9%,45.6%,99.0%,"6,40,089",46.5%,28.9%,17.4%,19.9%,"₹11,21,03,849",8.03,₹151.98,"59,21,591"
